gas_type, gallons, price
regular, 21.73913043478261, 45
regular, 21.73913043478261, 45
regular, 21.73913043478261, 45
regular, 21.73913043478261, 45
regular, 21.73913043478261, 45
regular, 1333, 2759.31
regular, 21.73913043478261, 45
regular, 16.425120772946862, 34
premium, 4, 9.4
premium, 980, 2303.0
regular, 2000, 4140.0
medium, 354, 814.1999999999999
medium, 19.565217391304348, 45
premium, 20, 47.0
premium, 35.744680851063826, 84
medium, 19.565217391304348, 45
medium, 195.6521739130435, 450
regular, 241.54589371980677, 500
medium, 217.3913043478261, 500
medium, 45, 103.49999999999999
regular, 21.73913043478261, 45
regular, 21.73913043478261, 45
medium, 19.565217391304348, 45
medium, 450, 1035.0
regular, 450, 931.4999999999999
regular, 45, 93.14999999999999
medium, 45, 103.49999999999999
regular, 35, 72.44999999999999
regular, 217.3913043478261, 450
regular, 4783, 9900.81
medium, 19.565217391304348, 45
premium, 5000, 11750.0
premium, 191.48936170212764, 450
regular, 96.61835748792271, 200
medium, 450, 1035.0
regular, 450, 931.4999999999999
medium, 450, 1035.0
regular, 21.73913043478261, 45
regular, 217.3913043478261, 450
regular, 217.3913043478261, 450
regular, 217.3913043478261, 450
medium, 450, 1035.0
medium, 199.13043478260872, 458medium, 650, 1494.9999999999998
premium, 450, 1057.5
regular, 450, 931.4999999999999
medium, 450, 1035.0
regular, 21.73913043478261, 45
medium, 450, 1035.0
regular, 450, 931.4999999999999
medium, 45, 103.49999999999999
medium, 450, 1035.0
premium, 19.148936170212764, 45
premium, 450, 1057.5
premium, 450, 1057.5
regular, 221.73913043478262, 459medium, 450, 1035.0
regular, 1000, 2070.0
regular, 217.3913043478261, 450
medium, 47.39130434782609, 109
medium, 195.6521739130435, 450
medium, 450, 1035.0
regular, 30, 62.099999999999994
regular, 14.492753623188406, 30
premium, 17.02127659574468, 40
regular, 20, 41.4
